Indicator,Energy_Type,Technology,Unit,year,value
Electricity Installed Capacity,Total Renewable,Hydropower (excl. Pumped Storage),Megawatt (MW),2006,823430.3589999999
Electricity Installed Capacity,Total Renewable,Solar energy,Megawatt (MW),2006,6494.427
Electricity Installed Capacity,Total Renewable,Wind energy,Megawatt (MW),2006,73167.109
Electricity Generation,Total Non-Renewable,Fossil fuels,Gigawatt-hours (GWh),2007,13731630.4776328
Electricity Generation,Total Renewable,Bioenergy,Gigawatt-hours (GWh),2007,246668.86299999998
Electricity Generation,Total Renewable,Hydropower (excl. Pumped Storage),Gigawatt-hours (GWh),2007,3141384.3449999997
Electricity Generation,Total Renewable,Solar energy,Gigawatt-hours (GWh),2007,8106.401
Electricity Generation,Total Renewable,Wind energy,Gigawatt-hours (GWh),2007,168915.19799999997
Electricity Installed Capacity,Total Non-Renewable,Fossil fuels,Megawatt (MW),2007,3043291.1516
Electricity Installed Capacity,Total Renewable,Bioenergy,Megawatt (MW),2007,51336.222
Electricity Installed Capacity,Total Renewable,Hydropower (excl. Pumped Storage),Megawatt (MW),2007,850833.091
Electricity Installed Capacity,Total Renewable,Solar energy,Megawatt (MW),2007,8974.207
Electricity Installed Capacity,Total Renewable,Wind energy,Megawatt (MW),2007,91542.47499999999
Electricity Generation,Total Non-Renewable,Fossil fuels,Gigawatt-hours (GWh),2008,13908791.5068458
Electricity Generation,Total Renewable,Bioenergy,Gigawatt-hours (GWh),2008,264847.62799999997
Electricity Generation,Total Renewable,Hydropower (excl. Pumped Storage),Gigawatt-hours (GWh),2008,3289679.756
Electricity Generation,Total Renewable,Solar energy,Gigawatt-hours (GWh),2008,12787.166
Electricity Generation,Total Renewable,Wind energy,Gigawatt-hours (GWh),2008,216910.435
Electricity Installed Capacity,Total Non-Renewable,Fossil fuels,Megawatt (MW),2008,3147695.7266
Electricity Installed Capacity,Total Renewable,Bioenergy,Megawatt (MW),2008,55336.454
Electricity Installed Capacity,Total Renewable,Hydropower (excl. Pumped Storage),Megawatt (MW),2008,879945.767
Electricity Installed Capacity,Total Renewable,Solar energy,Megawatt (MW),2008,15251.59
Electricity Installed Capacity,Total Renewable,Wind energy,Megawatt (MW),2008,115562.135
Electricity Generation,Total Non-Renewable,Fossil fuels,Gigawatt-hours (GWh),2009,13720645.4536418
Electricity Generation,Total Renewable,Bioenergy,Gigawatt-hours (GWh),2009,283153.46
Electricity Generation,Total Renewable,Hydropower (excl. Pumped Storage),Gigawatt-hours (GWh),2009,3345883.247
Electricity Generation,Total Renewable,Solar energy,Gigawatt-hours (GWh),2009,21001.798
Electricity Generation,Total Renewable,Wind energy,Gigawatt-hours (GWh),2009,272063.097
Electricity Installed Capacity,Total Non-Renewable,Fossil fuels,Megawatt (MW),2009,3261384.7206
Electricity Installed Capacity,Total Renewable,Bioenergy,Megawatt (MW),2009,62290.367
Electricity Installed Capacity,Total Renewable,Hydropower (excl. Pumped Storage),Megawatt (MW),2009,910513.875
Electricity Installed Capacity,Total Renewable,Solar energy,Megawatt (MW),2009,23610.036
Electricity Installed Capacity,Total Renewable,Wind energy,Megawatt (MW),2009,150130.682
Electricity Generation,Total Non-Renewable,Fossil fuels,Gigawatt-hours (GWh),2010,14711680.1556096
Electricity Generation,Total Renewable,Bioenergy,Gigawatt-hours (GWh),2010,318793.01
Electricity Generation,Total Renewable,Hydropower (excl. Pumped Storage),Gigawatt-hours (GWh),2010,3515372.5
Electricity Generation,Total Renewable,Solar energy,Gigawatt-hours (GWh),2010,33882.037
Electricity Generation,Total Renewable,Wind energy,Gigawatt-hours (GWh),2010,342883.73
Electricity Installed Capacity,Total Non-Renewable,Fossil fuels,Megawatt (MW),2010,3407203.0468
Electricity Installed Capacity,Total Renewable,Bioenergy,Megawatt (MW),2010,66945.592
Electricity Installed Capacity,Total Renewable,Hydropower (excl. Pumped Storage),Megawatt (MW),2010,944784.657
Electricity Installed Capacity,Total Renewable,Solar energy,Megawatt (MW),2010,41667.259
Electricity Installed Capacity,Total Renewable,Wind energy,Megawatt (MW),2010,181095.802
Electricity Generation,Total Non-Renewable,Fossil fuels,Gigawatt-hours (GWh),2011,15395809.328037601
Electricity Generation,Total Renewable,Bioenergy,Gigawatt-hours (GWh),2011,336748.871
Electricity Generation,Total Renewable,Hydropower (excl. Pumped Storage),Gigawatt-hours (GWh),2011,3582144.0670000003
Electricity Generation,Total Renewable,Solar energy,Gigawatt-hours (GWh),2011,65825.292
Electricity Generation,Total Renewable,Wind energy,Gigawatt-hours (GWh),2011,433863.985
Electricity Installed Capacity,Total Non-Renewable,Fossil fuels,Megawatt (MW),2011,3532704.1018000003
Electricity Installed Capacity,Total Renewable,Bioenergy,Megawatt (MW),2011,73452.845
Electricity Installed Capacity,Total Renewable,Hydropower (excl. Pumped Storage),Megawatt (MW),2011,972997.36
Electricity Installed Capacity,Total Renewable,Solar energy,Megawatt (MW),2011,73012.054
Electricity Installed Capacity,Total Renewable,Wind energy,Megawatt (MW),2011,220330.49
Electricity Generation,Total Non-Renewable,Fossil fuels,Gigawatt-hours (GWh),2012,15725204.0999572
Electricity Generation,Total Renewable,Bioenergy,Gigawatt-hours (GWh),2012,372436.918
Electricity Generation,Total Renewable,Hydropower (excl. Pumped Storage),Gigawatt-hours (GWh),2012,3770662.278
Electricity Generation,Total Renewable,Solar energy,Gigawatt-hours (GWh),2012,101942.72899999999
Electricity Generation,Total Renewable,Wind energy,Gigawatt-hours (GWh),2012,526426.803
Electricity Installed Capacity,Total Non-Renewable,Fossil fuels,Megawatt (MW),2012,3643153.2256
